Sales Register-Itemwise
Date Range: ,From 15/12/2025 to 15/12/2025
Category: ,"All"
Sub Category: ,"All"
Product: ,"All"
UOM: ,"BASE UOM"
DS Type: ,"All"
Salesman: ,"All"
Beat: ,"All"
TL: ,"All"
Transaction Type: ,"All"
"Cagetory","Sub Category","Market SKU","Item Code","Item Name","Batch","PKD","Expiry","UOM","Invoice Qty","Sales Return Qty","MRP Per Pack","Goods Value","Gross Amount","Total Discount","Tax Group Amount","Total","HSNCode","Invoice No.","Sales Return","Invoice / SR  Date","Outlet ID","Outlet Name","Channel Type","Outlet Type","Loyalty Program","RCS ID","UID","DS Id","DS Name","DS Type","Beat","TL Id","TL Name","TL Type"
"01 CIGARETTE","REGULAR SIZE","GFPMBLUEFRSHMINT10","1748","GF PRM BLUE FRESH MINT 10BE-NS_1748","5B2250368U","14/11/2025","01/01/2099","M_S","1.0000","0.0000","95.0000","4438.3400","4266.1324","172.2076","4154.8236","8420.9560","24022040","I/25-26/055228","","15/12/2025","347CG2017-553","COUNTER - SU-1","Retail","Convenience Outlet","Retail Others","180601698175","C20220004146577","34724","DS AMIR","Convenience Ds CDM","CON SUBHASH CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMINTSWITCH10","3521","GOLDFLAKE PRM MINT SW-NPCT10BE_3521","5B2250374V","21/11/2025","01/01/2099","M_S","0.2000","0.0000","95.0000","887.6680","853.2265","34.4415","830.9647","1684.1912","24022040","I/25-26/055228","","15/12/2025","347CG2017-553","COUNTER - SU-1","Retail","Convenience Outlet","Retail Others","180601698175","C20220004146577","34724","DS AMIR","Convenience Ds CDM","CON SUBHASH CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFT10","3607","GFLAKE PRM FT 10BE NPCT-FFT2_3607","7B2250779U-2-160216","05/11/2025","01/01/2099","M_S","1.5000","0.0000","95.0000","6657.5100","6399.1986","258.3114","6232.2355","12631.4341","24022040","I/25-26/055228","","15/12/2025","347CG2017-553","COUNTER - SU-1","Retail","Convenience Outlet","Retail Others","180601698175","C20220004146577","34724","DS AMIR","Convenience Ds CDM","CON SUBHASH CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFTBL10","3523","GOLDFLAKE PRMBLUEFT 10BE-NPCT_3523","5B6250021V","18/11/2025","01/01/2099","M_S","0.3000","0.0000","95.0000","1331.5020","1279.8397","51.6623","1246.4472","2526.2869","24022040","I/25-26/055228","","15/12/2025","347CG2017-553","COUNTER - SU-1","Retail","Convenience Outlet","Retail Others","180601698175","C20220004146577","34724","DS AMIR","Convenience Ds CDM","CON SUBHASH CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Delux size FIlter","GFSPSTRDSFT10-VAR3","3473","GF SUP ST FT V3-NPCT1 NS 10BE_3473","571250086V","29/11/2025","01/01/2099","M_S","0.5000","0.0000","59.0000","1196.3150","1146.3090","50.0060","1416.2821","2562.5911","24022030","I/25-26/055229","","15/12/2025","347CG2017-200","COUNTER-RM-1","Retail","Convenience Outlet","Retail Others","180601617602","C20220001164563","34726","DS MISHRA","Convenience Ds CDM","CON RAM CG","347TL22","TL not Mapped",""
"01 CIGARETTE","King Size","CLFLKBT10","3049","CLASSIC BT FIRMFT NB -CC 10 BE_3049","5H6250039V","27/11/2025","01/01/2099","M_S","0.2000","0.0000","170.0000","1400.0000","1341.4800","58.5200","1692.5472","3034.0272","24022090","I/25-26/055229","","15/12/2025","347CG2017-200","COUNTER-RM-1","Retail","Convenience Outlet","Retail Others","180601617602","C20220001164563","34726","DS MISHRA","Convenience Ds CDM","CON RAM CG","347TL22","TL not Mapped",""
"01 CIGARETTE","KING SIZE","GFFTK10","4374","GFK RED FTK NBUNDLE 10RC-MH_4374","5H1250162T","01/11/2025","01/01/2099","M_S","0.4000","0.0000","170.0000","2800.0000","2682.9600","117.0400","3385.0944","6068.0544","24022090","I/25-26/055229","","15/12/2025","347CG2017-200","COUNTER-RM-1","Retail","Convenience Outlet","Retail Others","180601617602","C20220001164563","34726","DS MISHRA","Convenience Ds CDM","CON RAM CG","347TL22","TL not Mapped",""
"01 CIGARETTE","KING SIZE","GFFTKBLUE10","3787","GFK BLUE NBUNDLE+NPCT1-PI 10BE_3787","5H3250088V","30/11/2025","01/01/2099","M_S","0.4000","0.0000","170.0000","2800.0000","2682.9600","117.0400","3385.0944","6068.0544","24022090","I/25-26/055229","","15/12/2025","347CG2017-200","COUNTER-RM-1","Retail","Convenience Outlet","Retail Others","180601617602","C20220001164563","34726","DS MISHRA","Convenience Ds CDM","CON RAM CG","347TL22","TL not Mapped",""
"01 CIGARETTE","KING SIZE","GFKMIXPOD10","3371","GFK MIXPOD FTK 10BE_3371","7I1250033V","17/11/2025","01/01/2099","M_S","0.2000","0.0000","170.0000","1281.3200","1227.7608","53.5592","1619.7669","2847.5277","24022090","I/25-26/055229","","15/12/2025","347CG2017-200","COUNTER-RM-1","Retail","Convenience Outlet","Retail Others","180601617602","C20220001164563","34726","DS MISHRA","Convenience Ds CDM","CON RAM CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Super Kings","CLASSICCONNECTFK20","3692","CLASSIC CONNECT FTK 20RC-10M_3692","7J6250246V-1-2304028","27/11/2025","01/01/2099","M_S","0.6000","0.0000","300.0000","3055.8960","2928.1595","127.7365","4376.0220","7304.1815","24022090","I/25-26/055229","","15/12/2025","347CG2017-200","COUNTER-RM-1","Retail","Convenience Outlet","Retail Others","180601617602","C20220001164563","34726","DS MISHRA","Convenience Ds CDM","CON RAM CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Delux size FIlter","GFSPSTRDSFT10-VAR3","3473","GF SUP ST FT V3-NPCT1 NS 10BE_3473","571250086V","29/11/2025","01/01/2099","M_S","0.5000","0.0000","59.0000","1196.3150","1146.3090","50.0060","1416.2821","2562.5911","24022030","I/25-26/055230","","15/12/2025","347CG2017-295","COUNTER - AG-1","Retail","Convenience Outlet","Retail Others","180601494341","C20220004403622","34721","DS NITIN","Convenience Ds CDM","CON ASHOK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","KING SIZE","GFFTKBLUE10","3787","GFK BLUE NBUNDLE+NPCT1-PI 10BE_3787","5H3250088V","30/11/2025","01/01/2099","M_S","0.2000","0.0000","170.0000","1400.0000","1341.4800","58.5200","1692.5472","3034.0272","24022090","I/25-26/055230","","15/12/2025","347CG2017-295","COUNTER - AG-1","Retail","Convenience Outlet","Retail Others","180601494341","C20220004403622","34721","DS NITIN","Convenience Ds CDM","CON ASHOK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Delux size FIlter","GFSPSTRDSFT10-VAR3","3473","GF SUP ST FT V3-NPCT1 NS 10BE_3473","571250086V","29/11/2025","01/01/2099","M_S","0.5000","0.0000","59.0000","1196.3150","1146.3090","50.0060","1416.2821","2562.5911","24022030","I/25-26/055231","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","King Size","CLASSICICEBURST10","3043","CLASSIC ICE BURST 10M -CC 10BE_3043","569250050V-1-1602315","28/11/2025","01/01/2099","M_S","0.2000","0.0000","170.0000","1278.0920","1224.6678","53.4242","1617.7874","2842.4552","24022090","I/25-26/055231","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","King Size","CLFLKBT10","3049","CLASSIC BT FIRMFT NB -CC 10 BE_3049","5H6250039V","27/11/2025","01/01/2099","M_S","0.1000","0.0000","170.0000","700.0000","670.7400","29.2600","846.2736","1517.0136","24022090","I/25-26/055231","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","KING SIZE","GFFTK10","4374","GFK RED FTK NBUNDLE 10RC-MH_4374","5H1250162T","01/11/2025","01/01/2099","M_S","0.2000","0.0000","170.0000","1400.0000","1341.4800","58.5200","1692.5472","3034.0272","24022090","I/25-26/055231","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","KING SIZE","GFFTKBLUE10","3787","GFK BLUE NBUNDLE+NPCT1-PI 10BE_3787","5H3250088V","30/11/2025","01/01/2099","M_S","0.2000","0.0000","170.0000","1400.0000","1341.4800","58.5200","1692.5472","3034.0272","24022090","I/25-26/055231","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Super Kings","CLASSICCONNECTFK20","3692","CLASSIC CONNECT FTK 20RC-10M_3692","7J6250246V-1-2304028","27/11/2025","01/01/2099","M_S","0.2000","0.0000","300.0000","1018.6320","976.0532","42.5788","1458.6740","2434.7272","24022090","I/25-26/055231","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Delux size Filter","BRSPLDSFT10","3731","BRISTOL SPL FT NPCT-10BE-FFT_3731","591250058V","21/11/2025","01/01/2099","M_S","0.2000","0.0000","70.0000","650.2260","624.9972","25.2288","621.4491","1246.4463","24022030","I/25-26/055232","","15/12/2025","347CG2017-287","COUNTER - AG-2","Retail","Convenience Outlet","Retail Others","180601704188","C20220003790076","34721","DS NITIN","Convenience Ds CDM","CON ASHOK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFINDIEMINTFT10","3585","GF INDIE MINT 10BE-MD1-12M-V2_3585","7B2250810V","19/11/2025","01/01/2099","M_S","0.2000","0.0000","100.0000","887.6680","853.2265","34.4415","830.9647","1684.1912","24022040","I/25-26/055232","","15/12/2025","347CG2017-287","COUNTER - AG-2","Retail","Convenience Outlet","Retail Others","180601704188","C20220003790076","34721","DS NITIN","Convenience Ds CDM","CON ASHOK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMBLUEFRSHMINT10","1748","GF PRM BLUE FRESH MINT 10BE-NS_1748","5B2250368U","14/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055232","","15/12/2025","347CG2017-287","COUNTER - AG-2","Retail","Convenience Outlet","Retail Others","180601704188","C20220003790076","34721","DS NITIN","Convenience Ds CDM","CON ASHOK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMINTSWITCH10","3521","GOLDFLAKE PRM MINT SW-NPCT10BE_3521","5B2250374V","21/11/2025","01/01/2099","M_S","0.2000","0.0000","95.0000","887.6680","853.2265","34.4415","830.9647","1684.1912","24022040","I/25-26/055232","","15/12/2025","347CG2017-287","COUNTER - AG-2","Retail","Convenience Outlet","Retail Others","180601704188","C20220003790076","34721","DS NITIN","Convenience Ds CDM","CON ASHOK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFT10","3607","GFLAKE PRM FT 10BE NPCT-FFT2_3607","7B2250779U-2-160216","05/11/2025","01/01/2099","M_S","1.0000","0.0000","95.0000","4438.3400","4266.1324","172.2076","4154.8236","8420.9560","24022040","I/25-26/055232","","15/12/2025","347CG2017-287","COUNTER - AG-2","Retail","Convenience Outlet","Retail Others","180601704188","C20220003790076","34721","DS NITIN","Convenience Ds CDM","CON ASHOK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFTBL10","3523","GOLDFLAKE PRMBLUEFT 10BE-NPCT_3523","5B6250021V","18/11/2025","01/01/2099","M_S","0.2000","0.0000","95.0000","887.6680","853.2265","34.4415","830.9647","1684.1912","24022040","I/25-26/055232","","15/12/2025","347CG2017-287","COUNTER - AG-2","Retail","Convenience Outlet","Retail Others","180601704188","C20220003790076","34721","DS NITIN","Convenience Ds CDM","CON ASHOK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Delux size Filter","BRSPLDSFT10","3731","BRISTOL SPL FT NPCT-10BE-FFT_3731","591250058V","21/11/2025","01/01/2099","M_S","0.3000","0.0000","70.0000","975.3390","937.4958","37.8432","932.1736","1869.6694","24022030","I/25-26/055233","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFINDIEMINTFT10","3585","GF INDIE MINT 10BE-MD1-12M-V2_3585","7B2250810V","19/11/2025","01/01/2099","M_S","0.4000","0.0000","100.0000","1775.3360","1706.4530","68.8830","1661.9295","3368.3825","24022040","I/25-26/055233","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMBLUEFRSHMINT10","1748","GF PRM BLUE FRESH MINT 10BE-NS_1748","5B2250368U","14/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055233","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMBLUEFRSHMINT10","1748","GF PRM BLUE FRESH MINT 10BE-NS_1748","5B2250380V","27/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055233","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMINTSWITCH10","3521","GOLDFLAKE PRM MINT SW-NPCT10BE_3521","5B2250374V","21/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055233","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFT10","3607","GFLAKE PRM FT 10BE NPCT-FFT2_3607","7B2250779U-2-160216","05/11/2025","01/01/2099","M_S","2.0000","0.0000","95.0000","8876.6800","8532.2648","344.4152","8309.6474","16841.9122","24022040","I/25-26/055233","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFTBL10","3523","GOLDFLAKE PRMBLUEFT 10BE-NPCT_3523","5B6250021V","18/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055233","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","NCDELUXEFT10","4382","NC DLX FT 10BE(MD+NPCT)-FFT-MH_4382","7B8250065T","31/10/2025","01/01/2099","M_S","0.1000","0.0000","95.0000","443.8340","426.6132","17.2208","415.4823","842.0955","24022040","I/25-26/055233","","15/12/2025","347CG2017-301","COUNTER - AN-2","Retail","Convenience Outlet","Retail Others","180601700180","C20220000551837","34720","DS ANIL PATHAK","Convenience Ds CDM","CON ANIL CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Delux size FIlter","GFSPSTRDSFT10-VAR3","3473","GF SUP ST FT V3-NPCT1 NS 10BE_3473","571250086V","29/11/2025","01/01/2099","M_S","0.5000","0.0000","59.0000","1196.3150","1146.3090","50.0060","1416.2821","2562.5911","24022030","I/25-26/055234","","15/12/2025","347CG2017-92","COUNTER - SP-1","Retail","Convenience Outlet","Retail Others","180601627427","C20220003989521","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","KING SIZE","GFFTK10","3756","GFK RED NBUNDLE+NPCT1 10RC_3756","5H1250185W","09/12/2025","01/01/2099","M_S","0.2000","0.0000","170.0000","1400.0000","1341.4800","58.5200","1692.5472","3034.0272","24022090","I/25-26/055234","","15/12/2025","347CG2017-92","COUNTER - SP-1","Retail","Convenience Outlet","Retail Others","180601627427","C20220003989521","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","KING SIZE","GFFTKBLUE10","3787","GFK BLUE NBUNDLE+NPCT1-PI 10BE_3787","5H3250088V","30/11/2025","01/01/2099","M_S","0.2000","0.0000","170.0000","1400.0000","1341.4800","58.5200","1692.5472","3034.0272","24022090","I/25-26/055234","","15/12/2025","347CG2017-92","COUNTER - SP-1","Retail","Convenience Outlet","Retail Others","180601627427","C20220003989521","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Super Kings","CLASSICCONNECTFK20","3692","CLASSIC CONNECT FTK 20RC-10M_3692","7J6250246V-1-2304028","27/11/2025","01/01/2099","M_S","0.2000","0.0000","300.0000","1018.6320","976.0532","42.5788","1458.6740","2434.7272","24022090","I/25-26/055234","","15/12/2025","347CG2017-92","COUNTER - SP-1","Retail","Convenience Outlet","Retail Others","180601627427","C20220003989521","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Delux size Filter","BRSPLDSFT10","3731","BRISTOL SPL FT NPCT-10BE-FFT_3731","591250058V","21/11/2025","01/01/2099","M_S","0.3000","0.0000","70.0000","975.3390","937.4958","37.8432","932.1736","1869.6694","24022030","I/25-26/055235","","15/12/2025","347CG2017-79","COUNTER - SP-2","Retail","Convenience Outlet","Retail Others","180601609453","C20220001064773","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFINDIEMINTFT10","3585","GF INDIE MINT 10BE-MD1-12M-V2_3585","7B2250810V","19/11/2025","01/01/2099","M_S","0.2000","0.0000","100.0000","887.6680","853.2265","34.4415","830.9647","1684.1912","24022040","I/25-26/055235","","15/12/2025","347CG2017-79","COUNTER - SP-2","Retail","Convenience Outlet","Retail Others","180601609453","C20220001064773","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMBLUEFRSHMINT10","1748","GF PRM BLUE FRESH MINT 10BE-NS_1748","5B2250380V","27/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055235","","15/12/2025","347CG2017-79","COUNTER - SP-2","Retail","Convenience Outlet","Retail Others","180601609453","C20220001064773","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMINTSWITCH10","3521","GOLDFLAKE PRM MINT SW-NPCT10BE_3521","5B2250374V","21/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055235","","15/12/2025","347CG2017-79","COUNTER - SP-2","Retail","Convenience Outlet","Retail Others","180601609453","C20220001064773","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFT10","3607","GFLAKE PRM FT 10BE NPCT-FFT2_3607","7B2250779U-2-160216","05/11/2025","01/01/2099","M_S","1.5000","0.0000","95.0000","6657.5100","6399.1986","258.3114","6232.2355","12631.4341","24022040","I/25-26/055235","","15/12/2025","347CG2017-79","COUNTER - SP-2","Retail","Convenience Outlet","Retail Others","180601609453","C20220001064773","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFTBL10","3523","GOLDFLAKE PRMBLUEFT 10BE-NPCT_3523","5B6250021V","18/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055235","","15/12/2025","347CG2017-79","COUNTER - SP-2","Retail","Convenience Outlet","Retail Others","180601609453","C20220001064773","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","NCDELUXEFT10","4382","NC DLX FT 10BE(MD+NPCT)-FFT-MH_4382","7B8250065T","31/10/2025","01/01/2099","M_S","0.2000","0.0000","95.0000","887.6680","853.2265","34.4415","830.9647","1684.1912","24022040","I/25-26/055235","","15/12/2025","347CG2017-79","COUNTER - SP-2","Retail","Convenience Outlet","Retail Others","180601609453","C20220001064773","34734","DS SANJAY PATHAK","Convenience Ds CDM","CON SPATHAK CG","347TL22","TL not Mapped",""
"01 CIGARETTE","Delux size Filter","BRSPLDSFT10","3731","BRISTOL SPL FT NPCT-10BE-FFT_3731","591250058V","21/11/2025","01/01/2099","M_S","0.3000","0.0000","70.0000","975.3390","937.4958","37.8432","932.1736","1869.6694","24022030","I/25-26/055236","","15/12/2025","347DMS112500447","COUNTER-NAGESH","Retail","Convenience Outlet","Retail Others","181205549798","C20220006433215","347142","DS NAGESH","Convenience Ds CDM","CON NAGESH","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFINDIEMINTFT10","3585","GF INDIE MINT 10BE-MD1-12M-V2_3585","7B2250810V","19/11/2025","01/01/2099","M_S","0.2000","0.0000","100.0000","887.6680","853.2265","34.4415","830.9647","1684.1912","24022040","I/25-26/055236","","15/12/2025","347DMS112500447","COUNTER-NAGESH","Retail","Convenience Outlet","Retail Others","181205549798","C20220006433215","347142","DS NAGESH","Convenience Ds CDM","CON NAGESH","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMBLUEFRSHMINT10","1748","GF PRM BLUE FRESH MINT 10BE-NS_1748","5B2250380V","27/11/2025","01/01/2099","M_S","1.0000","0.0000","95.0000","4438.3400","4266.1324","172.2076","4154.8236","8420.9560","24022040","I/25-26/055236","","15/12/2025","347DMS112500447","COUNTER-NAGESH","Retail","Convenience Outlet","Retail Others","181205549798","C20220006433215","347142","DS NAGESH","Convenience Ds CDM","CON NAGESH","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPMINTSWITCH10","3521","GOLDFLAKE PRM MINT SW-NPCT10BE_3521","5B2250374V","21/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055236","","15/12/2025","347DMS112500447","COUNTER-NAGESH","Retail","Convenience Outlet","Retail Others","181205549798","C20220006433215","347142","DS NAGESH","Convenience Ds CDM","CON NAGESH","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFT10","3607","GFLAKE PRM FT 10BE NPCT-FFT2_3607","7B2250779U-2-160216","05/11/2025","01/01/2099","M_S","1.0000","0.0000","95.0000","4438.3400","4266.1324","172.2076","4154.8236","8420.9560","24022040","I/25-26/055236","","15/12/2025","347DMS112500447","COUNTER-NAGESH","Retail","Convenience Outlet","Retail Others","181205549798","C20220006433215","347142","DS NAGESH","Convenience Ds CDM","CON NAGESH","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","GFPRFTBL10","3523","GOLDFLAKE PRMBLUEFT 10BE-NPCT_3523","5B6250021V","18/11/2025","01/01/2099","M_S","0.5000","0.0000","95.0000","2219.1700","2133.0662","86.1038","2077.4119","4210.4781","24022040","I/25-26/055236","","15/12/2025","347DMS112500447","COUNTER-NAGESH","Retail","Convenience Outlet","Retail Others","181205549798","C20220006433215","347142","DS NAGESH","Convenience Ds CDM","CON NAGESH","347TL22","TL not Mapped",""
"01 CIGARETTE","REGULAR SIZE","NCDELUXEFT10","4382","NC DLX FT 10BE(MD+NPCT)-FFT-MH_4382","7B8250065T","31/10/2025","01/01/2099","M_S","0.2000","0.0000","95.0000","887.6680","853.2265","34.4415","830.9647","1684.1912","24022040","I/25-26/055236","","15/12/2025","347DMS112500447","COUNTER-NAGESH","Retail","Convenience Outlet","Retail Others","181205549798","C20220006433215","347142","DS NAGESH","Convenience Ds CDM","CON NAGESH","347TL22","TL not Mapped",""
"01 CIGARETTE","Delux size FIlter","GFSPSTRDSFT10-VAR3","3473","GF SUP ST FT V3-NPCT1 NS 10BE_3473","571250086V","29/11/2025","01/01/2099","M_S","0.5000","0.0000","59.0000","1196.3150","1146.3090","50.0060","1416.2821","2562.5911","24022030","I/25-26/055237","","15/12/2025","347CG2018-32","COUNTER - VD-1","Retail","Convenience Outlet","Retail Others","181202429600","C20220000611636","34722","DS VED PRAKASH","Convenience Ds CDM","CON VED","347TL22","TL not Mapped",""
"01 CIGARETTE","King Size","CLASSICICEBURST10","3043","CLASSIC ICE BURST 10M -CC 10BE_3043","569250050V-1-1602315","28/11/2025","01/01/2099","M_S","0.1000","0.0000","170.0000","639.0460","612.3339","26.7121","808.8936","1421.2275","24022090","I/25-26/055237","","15/12/2025","347CG2018-32","COUNTER - VD-1","Retail","Convenience Outlet","Retail Others","181202429600","C20220000611636","34722","DS VED PRAKASH","Convenience Ds CDM","CON VED","347TL22","TL not Mapped",""
"01 CIGARETTE","King Size","CLFLKBT10","3049","CLASSIC BT FIRMFT NB -CC 10 BE_3049","5H6250039V","27/11/2025","01/01/2099","M_S","0.1000","0.0000","170.0000","700.0000","670.7400","29.2600","846.2736","1517.0136","24022090","I/25-26/055237","","15/12/2025","347CG2018-32","COUNTER - VD-1","Retail","Convenience Outlet","Retail Others","181202429600","C20220000611636","34722","DS VED PRAKASH","Convenience Ds CDM","CON VED","347TL22","TL not Mapped",""
"01 CIGARETTE","KING SIZE","GFFTK10","3756","GFK RED NBUNDLE+NPCT1 10RC_3756","5H1250185W","09/12/2025","01/01/2099","M_S","0.2000","0.0000","170.0000","1400.0000","1341.4800","58.5200","1692.5472","3034.0272","24022090","I/25-26/055237","","15/12/2025","347CG2018-32","COUNTER - VD-1","Retail","Convenience Outlet","Retail Others","181202429600","C20220000611636","34722","DS VED PRAKASH","Convenience Ds CDM","CON VED","347TL22","TL not Mapped",""
